<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: final_batch_jobs.csv>index,status,scope,variant,threads,workers,trial,nodes,edges,origins,destinations,load_s,prepare_s,csr_s,metrics_s,export_s,total_s,process_cpu_s,process_peak_rss_kib,rss_after_bytes,read_bytes_delta,write_bytes_delta,input_file_bytes,output_file_bytes,outputs,arrays,round
10,measured,synthetic_component_pipeline,baseline,1,4,1,4096,8064,512,2048,0.0012458799999421,0.0003358989999924,0.2821232060000511,0.0198446770000373,0.0184819809999225,0.3220316429999457,0.3061481449999998,217152,222461952,0,196608,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
11,measured,synthetic_component_pipeline,baseline,1,4,1,4096,8064,512,2048,0.0028844820001268,0.0058073410000361,0.6156952419999016,0.0376136130000759,0.0355491210000309,0.6975497990001713,0.681492692,216896,222277632,0,196608,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
12,measured,synthetic_component_pipeline,baseline,1,4,1,4096,8064,512,2048,0.0028998459999911,0.0057723039999473,0.6153742150002017,0.0377627939999456,0.0359466509999037,0.6977558099999897,0.6823358879999999,216768,222175232,0,196608,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
13,measured,synthetic_component_pipeline,baseline,1,4,1,4096,8064,512,2048,0.0015820480000456,0.0003070069999466,0.3450716519998877,0.02884850800001,0.0263904350001666,0.4021996500000568,0.4017908249999999,217276,222670848,0,196608,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
14,measured,synthetic_component_pipeline,baseline,1,4,1,4096,8064,512,2048,0.0011909160000413,0.000257609999835,0.2605416740000237,0.0187801859999581,0.0189926870000363,0.2997630729998946,0.2992674750000001,217152,222502912,0,196608,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
15,measured,synthetic_component_pipeline,baseline,1,4,1,4096,8064,512,2048,0.0013701120001314,0.0004291660000035,0.2691511379998701,0.0198316979999617,0.0200290520001544,0.3108111660001214,0.3105516130000003,217152,222457856,0,196608,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
16,measured,synthetic_component_pipeline,baseline,1,4,2,4096,8064,512,2048,0.002195163999886,0.0003599100000428,0.3224278550001145,0.022271081999861,0.0249760170001991,0.3722300280001036,0.3654092569999996,217152,222466048,0,196608,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
17,measured,synthetic_component_pipeline,baseline,1,4,2,4096,8064,512,2048,0.0016192939999655,0.0003050130001156,0.3986099500000364,0.0316441009999834,0.0335782659999495,0.4657566240000506,0.459651043,217276,222699520,0,196608,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
18,measured,synthetic_component_pipeline,baseline,1,4,2,4096,8064,512,2048,0.0017332360000636,0.0003872429999773,0.445563188000051,0.0330054169999129,0.0284774000001561,0.5091664840001613,0.5034826289999996,217152,222507008,0,196608,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
19,measured,synthetic_component_pipeline,baseline,1,4,2,4096,8064,512,2048,0.0022651920000953,0.0004115649999221,0.5124748680000266,0.0340124480001122,0.0333990979997906,0.582563170999947,0.5583922229999994,216896,222289920,0,196608,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
